Assignment: GS 540 HW2
Name: David Bacsik
Email: dbacsik@uw.edu
Language: Python
Runtime: 668.781671047 sec

Segment Histogram:
Non-Elevated CN Segments=4472
Elevated CN Segments=4471

Elevated CN Segment List:
38 16672 1470.28
18396 20541 169.06
21995 29807 743.55
31920 41143 974.73
42754 53893 1291.95
54640 65443 869.02
66290 70475 1075.37
70995 83572 1037.94
84256 119744 5976.82
120933 137481 1781.05
137731 142800 568.13
143551 148345 919.45
150391 154314 228.73
156086 156699 42.72
157254 169505 3666.36
170201 171089 46.52
171614 173910 92.03
174569 190223 962.19
190938 205444 1816.01
206414 211262 427.77
211940 213120 100.34
213789 214703 120.78
215417 218766 386.27
219210 225200 676.36
225766 230206 362.96
231216 234397 358.86
236505 239033 192.30
239738 252879 1370.63
253931 259998 493.61
260573 263089 272.95
263814 281305 1526.72
281958 296570 965.07
396674 443086 5447.01
443569 446753 568.34
447290 456104 1156.95
456542 468943 1219.05
469480 475153 490.12
475940 492295 2304.62
494512 496399 821.20
496801 501187 766.58
502823 537708 3803.67
538128 538539 67.17
538987 539873 276.08
540614 617733 9163.12
618870 625481 921.00
627040 627730 50.66
627946 631232 330.55
631666 635054 452.59
636433 654913 2050.10
656100 693765 3501.50
694244 705798 1119.79
706492 708033 71.06
710855 714492 326.70
715447 723611 1050.10
724976 733757 557.93
734813 738924 246.74
739417 757561 1643.32
758192 781366 2061.37
781969 797348 1329.62
798938 801570 183.34
802352 841488 2796.53
842834 851846 1119.10
853089 854566 156.70
855347 864006 866.72
864571 869835 544.66
870374 881709 991.96
884405 886398 141.45
886899 895190 876.63
895521 909877 1458.90
910446 915021 244.83
916218 924494 386.23
926809 934356 397.12
935577 938314 180.02
939389 942472 143.29
943703 946834 357.44
947834 951765 299.06
952356 955403 169.02
956846 957577 51.03
958201 961316 229.96
961976 972667 4087.65
973429 979713 354.90
980219 981422 113.39
982386 990329 595.58
992053 999827 626.03
1000853 1011824 964.38
1013444 1018919 393.50
1019419 1020655 209.09
1020814 1027066 1089.06
1027801 1028571 72.92
1029217 1045998 1406.55
1046848 1056374 872.01
1057713 1068940 1770.67
1069487 1081700 938.58
1085089 1097934 777.18
1102851 1106380 402.02
1107444 1131639 2373.57
1133713 1146172 882.94
1147888 1150180 94.92
1151520 1155579 279.64
1157656 1163223 395.96
1163806 1171313 685.75
1172178 1173619 97.40
1174817 1178796 344.58
1180304 1182371 100.80
1183177 1191486 403.57
1192933 1230037 5343.79
1231027 1261546 3035.74
1262173 1264516 219.33
1265183 1267507 226.15
1268020 1302722 3602.02
1304494 1305737 126.07
1307324 1310968 371.73
1313079 1358793 4554.49
1360065 1370454 897.47
1371341 1373415 290.96
1374144 1382573 536.88
1383383 1385815 220.51
1391899 1394068 197.46
1395785 1419457 2834.34
1420727 1465135 6097.41
1466907 1473651 558.85
1474125 1477724 224.16
1479353 1482132 188.46
1483055 1494279 945.51
1495209 1503090 645.26
1503617 1508612 411.90
1509027 1518591 813.33
1519374 1530954 1104.48
1533326 1545119 958.65
1545642 1546275 70.16
1547425 1551741 278.66
1553327 1560672 894.48
1561268 1587419 3564.52
1588330 1590669 199.53
1591107 1592335 89.98
1593682 1612740 1708.50
1614233 1617804 610.24
1618271 1618716 34.31
1619775 1627538 533.19
1628593 1633408 312.48
1634424 1642140 404.76
1642561 1644091 40.19
1644663 1648472 420.29
1649032 1657847 692.80
1658364 1669879 915.97
1670471 1697197 2766.10
1697617 1712692 1441.01
1713350 1732878 1778.22
1733654 1825455 9300.78
1826322 1838762 802.17
1840425 1842302 104.22
1842882 1880615 3119.24
1881501 1900912 2128.19
1902525 1905560 208.46
1905853 1912632 597.13
1913563 1925094 1097.92
1925615 1926670 57.42
1929407 1937609 857.26
1939133 1944870 558.09
1945557 1952859 788.63
1962849 2018012 6672.85
2018476 2063492 5030.64
2064411 2125581 8090.25
2126016 2158410 4217.04
2158925 2192994 4016.63
2193449 2206517 1861.09
2207806 2217567 686.37
2218361 2240262 2581.86
2241542 2256054 1586.82
2256401 2265513 1445.74
2265975 2275173 746.56
2275914 2289930 1246.61
2291189 2295643 456.77
2299175 2302082 273.29
2305801 2311333 648.75
2312306 2327196 1485.19
2327809 2331545 279.65
2332159 2350163 1804.02
2352016 2409465 6022.48
2410984 2422544 941.28
2423148 2430415 680.77
2430850 2432436 110.73
